"ensembl_gene_id","hgnc_symbol","chromosome_name","start_position","end_position","strand"
"ENSG00000004776","HSPB6","19",35754566,35758079,-1
"ENSG00000004777","ARHGAP33","19",35774532,35788822,1
"ENSG00000004779","NDUFAB1","16",23581014,23596316,-1
"ENSG00000004799","PDK4","7",95583499,95596516,-1
"ENSG00000004838","ZMYND10","3",50341110,50345732,-1
"ENSG00000004848","ARX","X",25003694,25016420,-1
"ENSG00000004864","SLC25A13","7",96120220,96322147,-1
"ENSG00000004866","ST7","7",116953238,117230176,1
"ENSG00000004897","CDC27","17",47117703,47189422,-1
"ENSG00000004948","CALCR","7",93424486,93574730,-1
"ENSG00000004961","HCCS","X",11111301,11123086,1
"ENSG00000004975","DVL2","17",7225342,7234517,-1
"ENSG00000005007","UPF1","19",18831959,18868230,1
"ENSG00000005020","SKAP2","7",26667068,26995239,-1
"ENSG00000005022","SLC25A5","X",119468422,119471396,1
"ENSG00000005059","MCUB","4",109560209,109688719,1
"ENSG00000005073","HOXA11","7",27181157,27185232,-1
"ENSG00000005075","POLR2J","7",102473128,102478922,-1
"ENSG00000005100","DHX33","17",5440917,5468982,-1
"ENSG00000005102","MEOX1","17",43640389,43661922,-1
"ENSG00000005108","THSD7A","7",11370365,11832198,-1
"ENSG00000005156","LIG3","17",34980512,35009743,1
"ENSG00000005175","RPAP3","12",47661249,47706030,-1
"ENSG00000005187","ACSM3","16",20610243,20797581,1
"ENSG00000005189","REXO5","16",20806429,20849665,1
"ENSG00000005194","CIAPIN1","16",57428187,57447420,-1
"ENSG00000005206","SPPL2B","19",2328615,2355095,1
"ENSG00000005238","ATOSB","9",35104112,35116341,-1
"ENSG00000005243","COPZ2","17",48026167,48038030,-1
"ENSG00000005249","PRKAR2B","7",107044705,107161811,1
"ENSG00000005302","MSL3","X",11758159,11775772,1
"ENSG00000005339","CREBBP","16",3725054,3880713,-1
"ENSG00000005379","TSPOAP1","17",58301228,58328795,-1
"ENSG00000005436","GCFC2","2",75652000,75710985,-1
"ENSG00000005448","WDR54","2",74421678,74425755,1
"ENSG00000005469","CROT","7",87345664,87399794,1
"ENSG00000005471","ABCB4","7",87401696,87480435,-1
"ENSG00000005483","KMT2E","7",104940943,105115019,1
"ENSG00000005486","RHBDD2","7",75842602,75888926,1
"ENSG00000005513","SOX8","16",981770,986979,1
"ENSG00000005700","IBTK","6",82169986,82247754,-1
"ENSG00000005801","ZNF195","11",3339261,3379222,-1
"ENSG00000005810","MYCBP2","13",77042474,77327094,-1
"ENSG00000005812","FBXL3","13",76992598,77027195,-1
"ENSG00000005882","PDK2","17",50094737,50112152,1
"ENSG00000005884","ITGA3","17",50055968,50090481,1
"ENSG00000005889","ZFX","X",24149173,24216255,1
"ENSG00000005893","LAMP2","X",120426148,120469365,-1
"ENSG00000005961","ITGA2B","17",44372180,44389649,-1
"ENSG00000006007","GDE1","16",19501693,19522123,-1
"ENSG00000006015","REX1BD","19",18588685,18592337,1
"ENSG00000006016","CRLF1","19",18572220,18607741,-1
"ENSG00000006025","OSBPL7","17",47807372,47821834,-1
"ENSG00000006042","TMEM98","17",32927910,32945106,1
"ENSG00000006047","YBX2","17",7288263,7294639,-1
"ENSG00000006062","MAP3K14","17",45263119,45317029,-1
"ENSG00000006071","ABCC8","11",17392498,17476894,-1
"ENSG00000006118","TMEM132A","11",60924460,60937159,1
"ENSG00000006125","AP2B1","17",35578046,35726413,1
"ENSG00000006128","TAC1","7",97732084,97740472,1
"ENSG00000006194","ZNF263","16",3283283,3301401,1
"ENSG00000006210","CX3CL1","16",57372477,57385044,1
"ENSG00000006282","SPATA20","17",50543058,50555852,1
"ENSG00000006283","CACNA1G","17",50560715,50627474,1
"ENSG00000006327","TNFRSF12A","16",3018445,3022383,1
"ENSG00000006377","DLX6","7",97005553,97011040,1
"ENSG00000006432","MAP3K9","14",70722526,70809534,-1
"ENSG00000006451","RALA","7",39623565,39708120,1
"ENSG00000006453","BAIAP2L1","7",98291650,98401090,-1
"ENSG00000006459","KDM7A","7",140084746,140176983,-1
"ENSG00000006468","ETV1","7",13891229,13991425,-1
"ENSG00000006530","AGK","7",141551278,141655244,1
"ENSG00000006534","ALDH3B1","11",68008578,68029282,1
"ENSG00000006576","PHTF2","7",77798773,77957503,1
"ENSG00000006607","FARP2","2",241356285,241494841,1
"ENSG00000006611","USH1C","11",17493895,17544416,-1
"ENSG00000006625","GGCT","7",30496621,30504841,-1
"ENSG00000006634","DBF4","7",87876216,87909553,1
"ENSG00000006638","TBXA2R","19",3594507,3606875,-1
"ENSG00000006652","IFRD1","7",112422887,112481017,1
"ENSG00000006695","COX10","17",14069490,14231736,1
"ENSG00000006704","GTF2IRD1","7",74453790,74602605,1
"ENSG00000006712","PAF1","19",39385629,39391154,-1
"ENSG00000006715","VPS41","7",38722974,38932394,-1
"ENSG00000006740","ARHGAP44","17",12789498,12991643,1
"ENSG00000006744","ELAC2","17",12991612,13018065,-1
"ENSG00000006756","ARSD","X",2903972,2929349,-1
"ENSG00000006757","PNPLA4","X",7898247,7927739,-1
"ENSG00000006831","ADIPOR2","12",1688574,1788674,1
"ENSG00000006837","CDKL3","5",134286350,134371047,-1
"ENSG00000007047","MARK4","19",45079288,45305284,1
"ENSG00000007062","PROM1","4",15963076,16084378,-1
"ENSG00000007080","CCDC124","19",17933015,17943991,1
"ENSG00000007129","CEACAM21","19",41549518,41586844,1
"ENSG00000007168","PAFAH1B1","17",2593210,2685615,1
"ENSG00000007171","NOS2","17",27756766,27800529,-1
"ENSG00000007174","DNAH9","17",11598470,11969748,1
"ENSG00000007202","BLTP2","17",28614446,28645454,-1
"ENSG00000007237","GAS7","17",9910606,10198606,-1
"ENSG00000007255","TRAPPC6A","19",45162928,45178237,-1
"ENSG00000007264","MATK","19",3777970,3802129,-1
"ENSG00000007312","CD79B","17",63928738,63932336,-1
"ENSG00000007314","SCN4A","17",63938554,63972918,-1
"ENSG00000007341","ST7L","1",112523514,112620825,-1
"ENSG00000007350","TKTL1","X",154295795,154330350,1
"ENSG00000007372","PAX6","11",31784779,31817961,-1
"ENSG00000007376","RPUSD1","16",784974,788397,-1
"ENSG00000007384","RHBDF1","16",58059,76355,-1
"ENSG00000007392","LUC7L","16",188969,229463,-1
"ENSG00000007402","CACNA2D2","3",50362613,50504244,-1
"ENSG00000007516","BAIAP3","16",1333638,1349441,1
"ENSG00000007520","TSR3","16",1349240,1351878,-1
"ENSG00000007541","PIGQ","16",566995,584109,1
"ENSG00000007545","CRAMP1","16",1612337,1677908,1
"ENSG00000007866","TEAD3","6",35473597,35497079,-1
"ENSG00000007908","SELE","1",169722640,169764705,-1
"ENSG00000007923","DNAJC11","1",6634168,6701924,-1
"ENSG00000007944","MYLIP","6",16129086,16148248,1
"ENSG00000007968","E2F2","1",23506438,23531233,-1
"ENSG00000008018","PSMB1","6",170535120,170553307,-1
"ENSG00000008056","SYN1","X",47571901,47619857,-1
"ENSG00000008083","JARID2","6",15246069,15522042,1
"ENSG00000008086","CDKL5","X",18425583,18653629,1
"ENSG00000008118","CAMK1G","1",209583714,209613939,1
"ENSG00000008128","CDK11A","1",1702379,1724357,-1
"ENSG00000008130","NADK","1",1751232,1780457,-1
"ENSG00000008196","TFAP2B","6",50818723,50847619,1
"ENSG00000008226","DLEC1","3",38039205,38124025,1
"ENSG00000008256","CYTH3","7",6161776,6272644,-1
"ENSG00000008277","ADAM22","7",87934143,88202889,1
"ENSG00000008282","SYPL1","7",106090505,106112589,-1
"ENSG00000008283","CYB561","17",63432304,63446354,-1
"ENSG00000008294","SPAG9","17",50962174,51120868,-1
"ENSG00000008300","CELSR3","3",48636463,48662886,-1
"ENSG00000008311","AASS","7",122064583,122144308,-1
"ENSG00000008323","PLEKHG6","12",6310436,6328506,1
"ENSG00000008324","SS18L2","3",42581840,42596934,1
"ENSG00000008382","MPND","19",4343527,4360086,1
"ENSG00000008394","MGST1","12",16347142,16609259,1
"ENSG00000008405","CRY1","12",106991364,107093549,-1
"ENSG00000008441","NFIX","19",12995475,13098796,1
"ENSG00000008513","ST3GAL1","8",133454848,133571940,-1
"ENSG00000008516","MMP25","16",3046062,3060726,1
"ENSG00000008517","IL32","16",3065297,3082192,1
"ENSG00000008710","PKD1","16",2088708,2135898,-1
"ENSG00000008735","MAPK8IP2","22",50600793,50613981,1
"ENSG00000008838","MED24","17",40019097,40061215,-1
"ENSG00000008853","RHOBTB2","8",22987417,23020509,1
"ENSG00000008869","HEATR5B","2",36968383,37084372,-1
"ENSG00000008952","SEC62","3",169966635,169998373,1
"ENSG00000008988","RPS20","8",56067254,56074510,-1
"ENSG00000009307","CSDE1","1",114716913,114758676,-1
"ENSG00000009335","UBE3C","7",157138916,157269370,1
"ENSG00000009413","REV3L","6",111299028,111483715,-1
"ENSG00000009694","TENM1","X",124375903,125204312,-1
"ENSG00000009709","PAX7","1",18630846,18748866,1
"ENSG00000009780","FAM76A","1",27725961,27763116,1
"ENSG00000009830","POMT2","14",77274956,77320883,-1
"ENSG00000009844","VTA1","6",142147162,142224685,1
"ENSG00000009950","MLXIPL","7",73593194,73624543,-1
"ENSG00000009954","BAZ1B","7",73440406,73522293,-1
"ENSG00000010017","RANBP9","6",13621498,13711835,-1
"ENSG00000010072","SPRTN","1",231337104,231355023,1
"ENSG00000010165","METTL13","1",171781660,171814023,1
"ENSG00000010219","DYRK4","12",4562208,4615302,1
"ENSG00000010244","ZNF207","17",32350132,32381885,1
"ENSG00000010256","UQCRC1","3",48599002,48610976,-1
"ENSG00000010270","STARD3NL","7",38178245,38230670,1
"ENSG00000010278","CD9","12",6199715,6238271,1
"ENSG00000010292","NCAPD2","12",6493356,6531955,1
"ENSG00000010295","IFFO1","12",6538961,6556073,-1
"ENSG00000010310","GIPR","19",45668221,45683722,1
"ENSG00000010318","PHF7","3",52410660,52423641,1
"ENSG00000010319","SEMA3G","3",52433035,52445103,-1
"ENSG00000010322","NISCH","3",52455118,52493068,1
"ENSG00000010327","STAB1","3",52495338,52524495,1
"ENSG00000010361","FUZ","19",49806866,49817376,-1
"ENSG00000010404","IDS","X",149476988,149521096,-1
"ENSG00000010539","ZNF200","16",3222325,3236221,-1
"ENSG00000010610","CD4","12",6786858,6820799,1
"ENSG00000010626","LRRC23","12",6873569,6914241,1
"ENSG00000010671","BTK","X",101349338,101390796,-1
"ENSG00000010704","HFE","6",26087281,26098343,1
"ENSG00000010803","SCMH1","1",41027202,41242306,-1
"ENSG00000010810","FYN","6",111660332,111873452,-1
"ENSG00000010818","HIVEP2","6",142751469,142956698,-1
"ENSG00000011007","ELOA","1",23743448,23762059,1
"ENSG00000011009","LYPLA2","1",23791145,23795539,1
"ENSG00000011021","CLCN6","1",11806096,11848079,1
"ENSG00000011028","MRC2","17",62627670,62693597,1
"ENSG00000011052","NME1-NME2","17",51153590,51171744,1
"ENSG00000011105","TSPAN9","12",3077355,3286564,1
"ENSG00000011114","BTBD7","14",93237550,93333092,-1
"ENSG00000011132","APBA3","19",3750772,3761692,-1
"ENSG00000011143","MKS1","17",58205441,58219605,-1
"ENSG00000011198","ABHD5","3",43690108,43734371,1
"ENSG00000011201","ANOS1","X",8528874,8732137,-1
"ENSG00000011243","AKAP8L","19",15380050,15419141,-1
"ENSG00000011258","MBTD1","17",51177425,51260163,-1
"ENSG00000011260","UTP18","17",51260546,51297936,1
"ENSG00000011275","RNF216","7",5620047,5781696,-1
"ENSG00000011295","TTC19","17",15999784,16045015,1
"ENSG00000011304","PTBP1","19",797075,812327,1
"ENSG00000011332","DPF1","19",38211006,38229714,-1
"ENSG00000011347","SYT7","11",61513714,61581148,-1
"ENSG00000011376","LARS2","3",45388561,45554726,1
"ENSG00000011405","PIK3C2A","11",17077730,17207986,-1
"ENSG00000011422","PLAUR","19",43646095,43670547,-1
"ENSG00000011426","ANLN","7",36389821,36453791,1
"ENSG00000011451","WIZ","19",15419978,15449956,-1
"ENSG00000011454","RABGAP1","9",122940833,123104866,1
"ENSG00000011465","DCN","12",91140484,91183217,-1
"ENSG00000011478","QPCTL","19",45692403,45703989,1
"ENSG00000011485","PPP5C","19",46347087,46392981,1
"ENSG00000011523","CEP68","2",65056354,65087004,1
"ENSG00000011566","MAP4K3","2",39249266,39437301,-1
"ENSG00000011638","LDAF1","16",21158377,21180616,1
"ENSG00000011677","GABRA3","X",152166234,152451315,-1
"ENSG00000012048","BRCA1","17",43044295,43170245,-1
"ENSG00000012061","ERCC1","19",45407334,45478828,-1
"ENSG00000012171","SEMA3B","3",50267558,50277546,1
"ENSG00000012174","MBTPS2","X",21839617,21885423,1
"ENSG00000012211","PRICKLE3","X",49174802,49186528,-1
"ENSG00000012232","EXTL3","8",28600469,28756561,1
"ENSG00000012660","ELOVL5","6",53267398,53349179,-1
"ENSG00000012779","ALOX5","10",45374176,45446119,1
"ENSG00000012817","KDM5D","Y",19703865,19744939,-1
"ENSG00000012822","CALCOCO1","12",53708517,53727745,-1
"ENSG00000012963","UBR7","14",93207241,93229215,1
"ENSG00000012983","MAP4K5","14",50418501,50561126,-1
"ENSG00000013016","EHD3","2",31234152,31269451,1
"ENSG00000013275","PSMC4","19",39971165,39981764,1
"ENSG00000013288","MAN2B2","4",6575189,6623362,1
"ENSG00000013293","SLC7A14","3",170459548,170586075,-1
"ENSG00000013297","CLDN11","3",170418868,170454733,1
"ENSG00000013306","SLC25A39","17",44319625,44324870,-1
"ENSG00000013364","MVP","16",29820394,29848039,1
"ENSG00000013374","NUB1","7",151341772,151378449,1
"ENSG00000013375","PGM3","6",83147324,83193936,-1
"ENSG00000013392","RWDD2A","6",83193357,83198935,1
"ENSG00000013441","CLK1","2",200853009,200864691,-1
"ENSG00000013503","POLR3B","12",106357748,106510198,1
"ENSG00000013523","ANGEL1","14",76786009,76826246,-1
"ENSG00000013561","RNF14","5",141958328,141990292,1
"ENSG00000013563","DNASE1L1","X",154401236,154412112,-1
"ENSG00000013573","DDX11","12",31073860,31104799,1
"ENSG00000013583","HEBP1","12",12974870,13000265,-1
"ENSG00000013588","GPRC5A","12",12891559,12917937,1
"ENSG00000013619","MAMLD1","X",150361422,150514178,1
"ENSG00000013810","TACC3","4",1712858,1745171,1
"ENSG00000014123","UFL1","6",96521595,96555276,1
"ENSG00000014138","POLA2","11",65261913,65305959,1
"ENSG00000014164","ZC3H3","8",143437659,143541447,-1
"ENSG00000014216","CAPN1","11",65180566,65212006,1
"ENSG00000014257","ACP3","3",132317369,132368302,1
"ENSG00000014641","MDH1","2",63588609,63607197,1
"ENSG00000014824","SLC30A9","4",41990502,42090461,1
"ENSG00000014914","MTMR11","1",149928651,149936879,-1
"ENSG00000014919","COX15","10",99710868,99732127,-1
"ENSG00000015133","CCDC88C","14",91271323,91417844,-1
"ENSG00000015153","YAF2","12",42157104,42238349,-1
"ENSG00000015171","ZMYND11","10",130088,254637,1
"ENSG00000015413","DPEP1","16",89613308,89638456,1
"ENSG00000015475","BID","22",17734138,17774770,-1
"ENSG00000015479","MATR3","5",139293674,139331677,1
"ENSG00000015520","NPC1L1","7",44512535,44541330,-1
"ENSG00000015532","XYLT2","17",50346126,50363138,1
"ENSG00000015568","RGPD5","2",109792758,109857705,1
"ENSG00000015592","STMN4","8",27235308,27258420,-1
"ENSG00000015676","NUDCD3","7",44379119,44490658,-1
"ENSG00000016082","ISL1","5",51383448,51394730,1
"ENSG00000016391","CHDH","3",53812335,53846419,-1
"ENSG00000016402","IL20RA","6",136999971,137045180,-1
"ENSG00000016864","GLT8D1","3",52694486,52706032,-1
"ENSG00000017260","ATP2C1","3",130850595,131016712,1
"ENSG00000017427","IGF1","12",102395874,102481744,-1
"ENSG00000017483","SLC38A5","X",48458537,48470260,-1
"ENSG00000017797","RALBP1","18",9475009,9538114,1
"ENSG00000018189","RUFY3","4",70704204,70808619,1
"ENSG00000018236","CNTN1","12",40692439,41072415,1
"ENSG00000018408","WWTR1","3",149517235,149736714,-1
"ENSG00000018510","AGPS","2",177392746,177567024,1
"ENSG00000018610","STEEP1","X",119538149,119565409,-1
"ENSG00000018625","ATP1A2","1",160115759,160143591,1
"ENSG00000018699","TTC27","2",32628032,32821051,1
"ENSG00000018869","ZNF582","19",56375846,56393538,-1
"ENSG00000019144","PHLDB1","11",118606440,118658031,1
"ENSG00000019485","PRDM11","11",45095806,45235110,1
"ENSG00000019505","SYT13","11",45240302,45286341,-1
"ENSG00000019549","SNAI2","8",48917598,48921740,-1
"ENSG00000019582","CD74","5",150401637,150412969,-1
"ENSG00000019991","HGF","7",81699010,81770438,-1
"ENSG00000019995","ZRANB1","10",124942123,124988189,1
"ENSG00000020129","NCDN","1",35557473,35567274,1
"ENSG00000020181","ADGRA2","8",37784191,37844896,1
"ENSG00000020256","ZFP64","20",52051663,52204308,-1
"ENSG00000020426","MNAT1","14",60734742,60969965,1
"ENSG00000020577","SAMD4A","14",54566117,54793315,1
"ENSG00000020633","RUNX3","1",24899511,24965121,-1
"ENSG00000020922","MRE11","11",94415570,94493885,-1
"ENSG00000021300","PLEKHB1","11",73646178,73662819,1
"ENSG00000021355","SERPINB1","6",2832332,2841959,-1
"ENSG00000021574","SPAST","2",32063556,32157637,1
"ENSG00000021645","NRXN3","14",78170373,79868291,1
"ENSG00000021762","OSBPL5","11",3087107,3166739,-1
"ENSG00000021776","AQR","15",34851782,34969742,-1
"ENSG00000021826","CPS1","2",210477682,210679107,1
"ENSG00000022267","FHL1","X",136146702,136211359,1
"ENSG00000022277","RTF2","20",56468585,56519449,1
"ENSG00000022556","NLRP2","19",54953130,55001142,1
"ENSG00000022567","SLC45A4","8",141207166,141308305,-1
"ENSG00000022840","RNF10","12",120533480,120577588,1
"ENSG00000022976","ZNF839","14",102317377,102342702,1
"ENSG00000023041","ZDHHC6","10",112424428,112447572,-1
"ENSG00000023171","GRAMD1B","11",123358428,123627774,1
"ENSG00000023191","RNH1","11",494512,507300,-1
"ENSG00000023228","NDUFS1","2",206114817,206159509,-1
"ENSG00000023287","RB1CC1","8",52622458,52745843,-1
"ENSG00000023318","ERP44","9",99979185,100099052,-1
"ENSG00000023330","ALAS1","3",52198086,52214327,1
"ENSG00000023516","AKAP11","13",42272152,42323261,1
"ENSG00000023572","GLRX2","1",193090866,193106114,-1
"ENSG00000023608","SNAPC1","14",61762420,61796428,1
"ENSG00000023697","DERA","12",15911302,16037381,1
"ENSG00000023734","STRAP","12",15882387,15903478,1
"ENSG00000023839","ABCC2","10",99782640,99852594,1
"ENSG00000023892","DEF6","6",35297818,35321771,1
"ENSG00000023902","PLEKHO1","1",150149183,150164720,1
"ENSG00000023909","GCLM","1",93885199,93909456,-1
"ENSG00000024048","UBR2","6",42564029,42693505,1
"ENSG00000024422","EHD2","19",47713422,47743134,1
"ENSG00000024526","DEPDC1","1",68474152,68497221,-1
"ENSG00000024862","CCDC28A","6",138773769,138793319,1
"ENSG00000025039","RRAGD","6",89364616,89412273,-1
"ENSG00000025156","HSF2","6",122399551,122433119,1
"ENSG00000025293","PHF20","20",35771974,35950370,1
"ENSG00000025423","HSD17B6","12",56752161,56787790,1
"ENSG00000025434","NR1H3","11",47248300,47269033,1
"ENSG00000025708","TYMP","22",50525752,50530032,-1
"ENSG00000025770","NCAPH2","22",50508224,50524780,1
"ENSG00000025772","TOMM34","20",44942130,44960397,-1
"ENSG00000025796","SEC63","6",107867756,107958208,-1
"ENSG00000025800","KPNA6","1",32108056,32176563,1
"ENSG00000026025","VIM","10",17228241,17237593,1
"ENSG00000026036","RTEL1-TNFRSF6B","20",63659300,63698684,1
"ENSG00000026103","FAS","10",88953813,89029605,1
"ENSG00000026297","RNASET2","6",166922113,166957191,-1
"ENSG00000026508","CD44","11",35138882,35232402,1
"ENSG00000026559","KCNG1","20",51003656,51023107,-1
"ENSG00000026652","AGPAT4","6",161129967,161274061,-1
"ENSG00000026950","BTN3A1","6",26402237,26415208,1
"ENSG00000027001","MIPEP","13",23730189,23889400,-1
"ENSG00000027075","PRKCH","14",61187559,61550976,1
"ENSG00000027697","IFNGR1","6",137197483,137219449,-1
"ENSG00000027847","B4GALT7","5",177600132,177610330,1
"ENSG00000027869","SH2D2A","1",156806243,156816848,-1
"ENSG00000028116","VRK2","2",57907629,58159920,1
"ENSG00000028137","TNFRSF1B","1",12166991,12209228,1
"ENSG00000028203","VEZT","12",95217746,95302799,1
"ENSG00000028277","POU2F2","19",42086110,42196585,-1
"ENSG00000028310","BRD9","5",850291,892801,-1
"ENSG00000028528","SNX1","15",64094123,64146090,1
"ENSG00000028839","TBPL1","6",133952170,133990432,1
"ENSG00000029153","BMAL2","12",27332836,27425289,1
"ENSG00000029363","BCLAF1","6",136256627,136289851,-1
"ENSG00000029364","SLC39A9","14",69398015,69462390,1
"ENSG00000029534","ANK1","8",41653220,41896741,-1
"ENSG00000029639","TFB1M","6",155256134,155314493,-1
"ENSG00000029725","RABEP1","17",5282265,5386340,1
"ENSG00000029993","HMGB3","X",150980509,150990771,1
"ENSG00000030066","NUP160","11",47778087,47848555,-1
"ENSG00000030110","BAK1","6",33572547,33580293,-1
"ENSG00000030419","IKZF2","2",212999691,213152427,-1
"ENSG00000030582","GRN","17",44345246,44353106,1
"ENSG00000031003","FAM13B","5",137937960,138051961,-1
"ENSG00000031081","ARHGAP31","3",119294383,119420714,1
"ENSG00000031691","CENPQ","6",49463370,49493107,1
"ENSG00000031698","SARS1","1",109213918,109238182,1
"ENSG00000031823","RANBP3","19",5916139,5978142,-1
"ENSG00000032219","ARID4A","14",58298504,58373887,1
"ENSG00000032389","EIPR1","2",3188925,3377830,-1
"ENSG00000032444","PNPLA6","19",7534004,7561764,1
"ENSG00000032742","IFT88","13",20567138,20691444,1
"ENSG00000033011","ALG1","16",5033702,5087379,1
"ENSG00000033030","ZCCHC8","12",122471599,122501073,-1
"ENSG00000033050","ABCF2","7",151211484,151227205,-1
"ENSG00000033100","CHPF2","7",151232483,151240979,1
"ENSG00000033122","LRRC7","1",69567922,70151945,1
"ENSG00000033170","FUT8","14",65410592,65744121,1
"ENSG00000033178","UBA6","4",67612652,67701155,-1
"ENSG00000033327","GAB2","11",78215293,78418348,-1
"ENSG00000033627","ATP6V0A1","17",42458844,42522582,1
"ENSG00000033800","PIAS1","15",68054309,68198603,1
"ENSG00000033867","SLC4A7","3",27372721,27484420,-1
"ENSG00000034053","APBA2","15",28884483,29118315,1
"ENSG00000034152","MAP2K3","17",21284672,21315232,1
"ENSG00000034239","CLXN","8",48710789,48735311,-1
"ENSG00000034510","TMSB10","2",84905656,84906671,1
"ENSG00000034533","ASTE1","3",131013875,131027649,-1
"ENSG00000034677","RNF19A","8",100257060,100336218,-1
"ENSG00000034693","PEX3","6",143450805,143490616,1
"ENSG00000034713","GABARAPL2","16",75566375,75577881,1
"ENSG00000035115","SH3YL1","2",217730,266398,-1
"ENSG00000035141","FAM136A","2",70295976,70302067,-1
"ENSG00000035403","VCL","10",73995193,74121363,1
"ENSG00000035499","DEPDC1B","5",60596912,60700190,-1
"ENSG00000035664","DAPK2","15",63907036,64072033,-1
"ENSG00000035681","NSMAF","8",58583508,58659853,-1
"ENSG00000035687","ADSS2","1",244408494,244451909,-1
"ENSG00000035862","TIMP2","17",78852977,78925387,-1
"ENSG00000035928","RFC1","4",39287456,39366375,-1
"ENSG00000036054","TBC1D23","3",100260992,100325251,1
"ENSG00000036257","CUL3","2",224470150,224585397,-1
"ENSG00000036448","MYOM2","8",2045046,2165552,1
"ENSG00000036530","CYP46A1","14",99684298,99727301,1
"ENSG00000036549","ZZZ3","1",77562416,77683419,-1
"ENSG00000036565","SLC18A1","8",20144855,20183206,-1
"ENSG00000036672","USP2","11",119355215,119381711,-1
"ENSG00000037042","TUBG2","17",42659284,42667006,1
"ENSG00000037241","RPL26L1","5",172958729,172969771,1
"ENSG00000037280","FLT4","5",180601506,180649624,-1
"ENSG00000037474","NSUN2","5",6599239,6633291,-1
"ENSG00000037637","FBXO42","1",16246840,16352480,-1
"ENSG00000037749","MFAP3","5",154038959,154220478,1
"ENSG00000037757","MRI1","19",13764522,13774282,1
"ENSG00000037897","METTL1","12",57768471,57772119,-1
"ENSG00000037965","HOXC8","12",54008985,54012769,1
"ENSG00000038002","AGA","4",177430774,177442437,-1
"ENSG00000038210","PI4K2B","4",25160663,25279204,1
"ENSG00000038219","BOD1L1","4",13568738,13627725,-1
"ENSG00000038274","MAT2B","5",163503114,163519558,1
"ENSG00000038295","TLL1","4",165873237,166104457,1
"ENSG00000038358","EDC4","16",67873052,67884499,1
"ENSG00000038382","TRIO","5",14143342,14532128,1
"ENSG00000038427","VCAN","5",83471618,83582303,1
"ENSG00000038532","CLEC16A","16",10944539,11182186,1
"ENSG00000039068","CDH1","16",68737292,68835537,1
"ENSG00000039123","MTREX","5",55307989,55425579,1
"ENSG00000039139","DNAH5","5",13690328,14011818,-1
"ENSG00000039319","ZFYVE16","5",80408013,80483379,1
